FullName,Email,Phone,Birthdate
Venti Barbatos,venti@gmail.com,09111111111,16-06-1910
Zhongli Morax,zhongli@gmail.com,0922222222,31-12-1900
Raiden Shogun,raiden@gmail.com,09333333333,26-06-1920
Nahida Kusanali,nahida@gmail.com,09444444444,27-10-1925
Furina De Fontaine,furina@gmail.com,09555555555,13-10-1925
Mavuika Murata,mavuika@gmail.com,09666666666,28-08-1920
Hu Tao,hutao@gmail.com,09777777777,15-07-2002
Kaveh Arki,kaveh@gmail.com,09888888888,09-07-2002
Al Haitham,alhaitham@gmail.com,09999999999,11-02-2000
Aether Traveller,aether@gmail.com,09773453456,03-07-2003
Albedo Kreideprinz,albedo@gmail.com,09566874231,13-09-1995
Aloy Savior,aloy@gmail.com,09863314521,04-04-1999
Amber Outrider,amber@gmail.com,09175556337,10-08-2002
Arataki Itto,itto@gmail.com,09998877445,01-06-1982
Arlecchino Peruere,arlecchino@gmail.com,09636456987,22-08-1967
Baizhu Bubu,baizhu@gmail.com,09556337152,25-04-1988
Barbara Pegg,barbara@gmail.com,09143217888,05-07-2003
Beidou Crux,beidou@gmail.com,09222365774,14-02-1975
Bennett Bouken,bennet@gmail.com,09636345452,29-02-2004
Candace Al-Ahmar,candace@gmail.com,0909522754,03-05-1999
Charlotte Steambird,charlotte@gmail.com,09555542111,10-04-2001
Chasca Vuka,chasca@gmail.com,09366251147,10-12-1989
Chevreuse Maison,chevreuse@gmail.com,09088523467,10-01-2000
Chiori Chioriya,chiori@gmail.com,09352247786,17-08-1991
Chongyun Exorcist,chongyun@gmail.com,09221144536,07-09-2003
Citlali Granny,citlali@gmail.com,09552336477,20-01-1930
Clorinde Duelist,clorinde@gmail.com,09577413688,20-09-1997
Collei Flower,collei@gmail.com,09235997111,08-05-2006
Cyno Mahamatra,cyno@gmail.com,09874511223,23-06-1993
Dahlia Twink,dahlia@gmail.com,09863657412,25-05-2001
Dehya Eremite,dehya@gmail.com,09044587923,07-04-1995
Diluc Ragnvindr,diluc@gmail.com,09171234567,30-04-1987
Diona Katzlein,diona@gmail.com,09987654321,18-01-2008
Dori Sangemah Bay,dori@gmail.com,09085551212,21-12-2007
Emilie Gardiennage,emilie@gmail.com,09228765432,22-09-1985
Escoffier Debord,escoffier@gmail.com,09331112233,08-06-1998
Eula Lawrence,eula@gmail.com,09459876543,25-10-1993
Faruzan Granny,faruzan@gmail.com,09662345678,20-08-1930
Fischl von Luftschloss Narfidort,fischl@gmail.com,09773456789,27-05-2004
Freminet Tidalga,freminet@gmail.com,09179990000,24-09-2005
Yip Gaming,gaming@gmail.com,09981239876,22-12-2000
Ganyu Qilin,ganyu@gmail.com,09082348765,02-12-1957
General Gorou,gorou@gmail.com,09223457654,18-05-1990
Iansan Uwezo,iansan@gmail.com,09334566543,08-08-2008
Ifa Cacucu,ifa@gmail.com,09455675432,23-03-1988
Jean Gunnhildr,jean@gmail.com,09666784321,14-03-1999
Kachina Uthabiti,kachina@gmail.com,09777893210,22-04-2009
Kaedehara Kazuha,kazuha@gmail.com,09178901234,29-10-2001
Kaeya Alberich,kaeya@gmail.com,09980123456,30-11-1983
Kamisato Ayaka,ayaka@gmail.com,09081234567,28-09-1999
